Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
1034,17545,70033,38.9,86400,35.3,39758,40.9,74003.05900000001,Manheim,1.0,389.0
1035,17547,70663,33.5,78237,28.0,42339,46.5,65266.1,Marietta,1.0,599.0
1036,17550,55556,40.7,78206,36.7,33288,46.5,66791.814,Maytown,1.0,563.0
1037,17551,60429,34.6,79109,31.0,28858,38.6,56571.412000000004,Millersville,1.0,873.0
1038,17552,75523,32.2,87791,31.1,39854,35.1,65610.161,Mount Joy,1.0,588.0
1039,17554,71712,28.1,80448,29.8,36326,25.2,53278.727999999996,Mountville,1.0,991.0
1040,17555,72500,42.4,80175,43.4,24635,35.3,74232.105,Narvon,1.0,386.0
1041,17557,64861,43.9,78353,44.9,28659,40.0,75118.076,New Holland,1.0,367.0
1042,17560,68750,46.6,78000,48.9,22083,41.4,79321.86200000001,New Providence,1.0,290.0
1043,17562,86094,51.7,88341,50.6,52969,58.1,119986.133,Paradise,1.0,46.0
1044,17563,73452,50.4,81563,51.0,34375,42.9,93363.81300000001,Peach Bottom,1.0,142.0
1045,17565,92375,36.1,102143,38.4,48594,19.6,82094.711,Pequea,1.0,252.0
1046,17566,63691,39.2,75778,40.9,47083,32.5,71262.049,Quarryville,1.0,451.0
1047,17569,80497,43.7,85241,41.8,50986,47.3,94924.305,Reinholds,1.0,128.0
1048,17572,72750,46.2,103636,62.7,0,15.2,98590.272,Gordonville,1.0,106.0
1049,17578,69024,43.9,77625,46.5,32692,35.3,77937.437,Stevens,1.0,318.0
1050,17579,73598,27.5,79716,28.1,41534,24.4,52773.942,Strasburg,1.0,1009.0
1051,17581,62500,64.9,83846,59.5,0,77.2,90450.87,Terre Hill,1.0,165.0
1052,17582,85450,47.6,95972,52.8,0,29.7,91347.416,Washington Boro,1.0,159.0
1053,17584,85486,32.0,91162,31.3,54063,34.2,74378.772,Willow Street,1.0,384.0
1054,17601,80488,33.7,95783,34.2,47226,31.5,74758.432,Lancaster,1.0,372.0
1055,17602,60387,36.2,70089,34.7,42605,36.5,61731.802,Lancaster,3.0,710.0
1056,17603,61678,39.1,76983,40.0,39596,36.9,69520.22200000001,Lancaster,2.0,495.0
1057,17606,39018,66.4,0,100.0,0,59.9,25907.952,Lititz,2.0,1585.0
1058,17701,46406,34.3,58609,34.1,28160,32.2,44970.447,Williamsport,3.0,1286.0
1059,17702,58082,36.8,73561,39.6,36074,30.8,61615.124,Williamsport,1.0,714.0
1060,17721,46167,19.6,58958,19.3,30637,20.2,26616.3,Avis,1.0,1579.0
1061,17723,38571,33.3,0,53.8,35625,9.1,16086.018,Cammal,1.0,1639.0
1062,17724,47557,28.9,59327,29.5,23889,23.3,36811.575,Canton,1.0,1465.0
1063,17727,39453,44.9,39766,51.3,25000,20.0,43114.355,Cedar Run,1.0,1327.0
1064,17728,61719,28.8,72313,27.1,31000,33.6,47787.895,Williamsport,2.0,1200.0
1065,17729,36250,25.7,69375,26.7,25000,25.0,34089.375,Cross Fork,1.0,1508.0
1066,17731,84750,42.1,106250,34.4,0,58.1,72229.75,Eagles Mere,1.0,422.0
1067,17737,58964,30.8,67350,26.7,34146,36.7,48674.944,Hughesville,2.0,1168.0
1068,17740,57675,36.1,66750,34.6,35852,38.6,57755.047,Jersey Shore,1.0,822.0
1069,17742,28194,0.0,0,0.0,0,0.0,0.0,Lairdsville,1.0,1684.0
1070,17744,52402,40.6,64091,41.5,30500,37.0,59157.977,Linden,1.0,779.0
1071,17745,47681,36.4,62875,36.9,27072,33.9,49734.167,Lock Haven,1.0,1125.0
1072,17747,60750,36.6,67014,37.8,30750,30.9,57067.542,Loganton,1.0,846.0
1073,17748,40938,16.7,0,29.2,41250,0.0,6836.646,Lock Haven,2.0,1667.0
1074,17749,62750,22.8,68750,23.5,37188,21.2,38347.106,Watsontown,2.0,1443.0
1075,17750,0,69.8,116146,65.1,0,82.6,75611.046,Mill Hall,1.0,354.0
1076,17751,60278,34.1,67481,35.1,26250,31.3,52456.879,Mill Hall,2.0,1021.0
1077,17752,53000,33.0,61554,28.5,27917,41.6,46646.362,Montgomery,1.0,1236.0
1078,17754,64175,35.3,81484,35.5,37394,33.7,64182.373,Montoursville,1.0,632.0
1079,17756,66426,34.2,74959,36.3,33125,26.9,58838.434,Muncy,1.0,791.0
1080,17758,49531,34.0,57917,30.6,34583,38.3,47808.431,Muncy Valley,2.0,1198.0
1081,17760,61250,36.2,66250,31.8,0,48.4,43240.0,North Bend,1.0,1324.0
1082,17762,85833,26.9,115000,34.0,49688,11.8,68052.261,Hughesville,1.0,527.0
1083,17763,46250,32.8,48750,28.6,0,35.4,29112.5,Ralston,1.0,1562.0
1084,17764,36422,31.8,43233,31.8,19362,31.5,31429.32,Renovo,1.0,1543.0
1085,17765,65417,50.2,57056,43.8,24917,39.5,67672.077,Roaring Branch,1.0,541.0
1086,17767,33250,43.5,0,37.5,0,46.7,14463.75,Salona,1.0,1648.0
1087,17768,55357,45.1,68438,50.5,33125,35.6,71319.697,Shunk,1.0,449.0
1088,17771,57361,31.7,70769,35.3,27981,22.4,49432.638,Trout Run,1.0,1142.0
1089,17772,73313,47.3,72750,38.2,0,63.0,62467.549000000006,Turbotville,1.0,681.0
1090,17774,60417,42.5,72500,43.0,37727,41.5,72508.93,Unityville,1.0,414.0
1091,17776,53750,36.1,59167,42.1,41250,25.6,54873.057,Waterville,1.0,934.0
1092,17777,53793,31.1,69753,31.5,31037,29.5,47857.733,Watsontown,1.0,1197.0
1093,17778,0,30.6,56875,25.6,0,42.1,14560.0,Westport,1.0,1646.0
1094,17801,45313,37.4,61311,37.3,23643,36.1,48351.187999999995,Sunbury,1.0,1183.0
1095,17810,60086,40.6,67353,40.9,29605,39.8,63725.083,Allenwood,1.0,643.0
1096,17812,56875,34.4,61154,39.4,25125,24.1,49714.801,Beaver Springs,1.0,1126.0
1097,17813,58125,43.7,63250,40.3,22917,48.0,61890.535,Beavertown,1.0,709.0
1098,17814,51762,35.5,69205,36.7,34650,31.8,54792.445,Benton,1.0,938.0
1099,17815,52824,28.2,74785,31.9,31761,22.2,45803.725,Bloomsburg,1.0,1261.0
1100,17820,60349,35.7,74669,33.8,31719,39.9,59438.596,Catawissa,1.0,771.0
1101,17821,61194,30.8,77017,33.3,29089,22.9,51155.794,Danville,1.0,1077.0
1102,17823,64881,38.2,71319,38.6,31719,28.9,61480.467000000004,Dornsife,1.0,716.0
1103,17824,77578,36.9,101292,35.1,22833,40.8,73495.63799999999,Elysburg,1.0,397.0
1104,17827,56875,27.9,50417,29.1,42292,23.0,40266.63200000001,Freeburg,1.0,1404.0
1105,17829,70938,51.0,76875,50.0,0,54.5,74615.88,Hartleton,1.0,373.0
1106,17830,59034,35.0,66875,32.2,26731,34.9,51524.769,Herndon,1.0,1061.0
1107,17832,34167,35.2,54583,37.1,23894,32.6,40066.521,Marion Heights,1.0,1410.0
1108,17834,51757,35.6,58264,27.1,34097,49.7,51161.245,Kulpmont,1.0,1075.0
1109,17835,71250,80.2,73750,67.2,54286,78.1,149099.866,Laurelton,1.0,14.0
1110,17836,53750,43.0,56786,29.6,50417,72.0,76221.396,Leck Kill,1.0,341.0
1111,17837,53801,28.9,87852,32.8,28761,24.2,51324.107,Lewisburg,1.0,1069.0
